0.6889501134	upscale
0.6856267609	enjoyable
0.6834191646	shopping
0.6827517609	daily
0.6817502283	company
0.6816817983	feet
0.6795851795	girl
0.6784786997	egg
0.6779090207	rush
0.6775163569	chili
0.6769241988	noodle
0.6767643124	greek
0.6759605928	banana
0.6759197181	burrito
0.6756349967	booth
0.6753030099	potatoes
0.6745168772	coconut
0.6742818103	ladies
0.6735274565	starter
0.6733322952	vanilla
0.6726251524	smell
0.6715177465	mussels
0.6714774557	california
0.6708721872	ham
0.6704946663	yelpers
0.6701309852	hours
0.6700227120	size
0.6694969090	slices
0.6694309211	brunch
0.6691844132	late_night
0.6691494390	kimchi
0.6689217126	heart
0.6687661819	uni
0.6686194756	peach
0.6683684261	vegetarian
0.6681250573	trio
0.6676530231	mango
0.6675991136	goat
0.6674185170	veggie
0.6673865307	machine
0.6667693099	alcoholic
0.6662913479	bowling
0.6659704076	dance
0.6659502179	casual
0.6658840880	caramel
0.6658074691	important
0.6648087244	ranch
0.6647003245	cheaper
0.6645563241	blue_cheese
0.6645470040	michael
0.6643901821	meatballs
0.6642765985	break
0.6642470931	dollar
0.6642012979	frozen
0.6641697942	pita
0.6641692794	business
0.6641528482	courteous
0.6639204075	country
0.6638532095	cane
0.6637910125	flour
0.6637051131	alley
0.6635985620	buns
0.6633798618	patty
0.6633093871	training
0.6632824424	raspberry
0.6630415566	risotto
0.6630230958	kid
0.6628725535	casinos
0.6628401121	ribeye
0.6627816571	ball
0.6627410501	catfish
0.6627066151	recommendation
0.6624151597	listed
0.6623535338	tail
0.6621848569	roosevelt
0.6617530853	valet
0.6617418211	tasteless
0.6616571804	lunch_special
0.6611284548	cute
0.6611030854	shrimp
0.6609197614	tortillas
0.6609057172	seasonal
0.6608973753	grilled_chicken
0.6607992443	smaller
0.6606935065	ayce
0.6606492358	sliders
0.6606003721	cod
0.6605273842	mins
0.6605159681	flight
0.6604859335	website
0.6604599492	batter
0.6603917471	google
0.6603318126	sticks
0.6603309278	music
0.6603057291	cow
0.6601889273	concrete
0.6601340008	jalapeño
0.6599985977	issues
0.6599697374	lie
0.6599316327	patrons
0.6597557043	knowledge
0.6597215708	alcohol
0.6596848805	rarely
0.6596036264	diet
0.6593490683	broth
0.6590387658	female
0.6590140258	weak
0.6589819090	cooked_perfectly
0.6588255545	tortilla
0.6587711150	truck
0.6586543885	north
0.6586171828	carolina
0.6584906827	smoothie
0.6584860579	wheelchair
0.6584818999	cashew
0.6584305190	names
0.6583215963	herbs
0.6581722926	green_tea
0.6581421828	siam
0.6581035894	steaks
0.6580077274	pictures
0.6579296231	miles
0.6579059289	zone
0.6579059289	winning
0.6577946432	madison
0.6574914484	mesa
0.6574857137	snow
0.6574454901	french_fries
0.6573368881	bobby
0.6573152472	minute_wait
0.6572879181	lo
0.6571406769	funky
0.6570729079	bamboo
0.6570729079	metal
0.6570408511	english
0.6570137633	list
0.6569611837	cook
0.6569496030	pizzas
0.6568422715	german
0.6567858953	shoot
0.6567072669	ground
0.6567030311	mix
0.6565755750	stay
0.6565037908	chicago
0.6564961206	death
